DT_REFER;CD_CVM;CD_CONTA;DT_FIM_EXERC_PENULTIMO_BP;DT_FIM_EXERC_PENULTIMO;VL_CONTA_PENULTIMO;VL_CONTA
2011-09-30;2453;1.02.03;2010-12-31;;8228513000.0;8575189000.0
2011-09-30;2453;1.02.04;2010-12-31;;4803687000.0;5738685000.0
2011-09-30;2453;2.01;2010-12-31;;6403358000.0;8236371000.0
2011-09-30;2453;2.01.02;2010-12-31;;1121009000.0;1209759000.0
2011-09-30;2453;2.01.03;2010-12-31;;540568000.0;1331559000.0
2011-09-30;2453;2.01.04;2010-12-31;;2202566000.0;3867641000.0
2011-09-30;2453;2.01.05;2010-12-31;;2226686000.0;1561165000.0
2011-09-30;2453;2.01.06;2010-12-31;;69271000.0;26143000.0
2011-09-30;2453;2.01.07;2010-12-31;;0.0;0.0
2011-09-30;2453;2.02.01;2010-12-31;;11023924000.0;10199856000.0
2011-09-30;2453;2.02.02;2010-12-31;;4281512000.0;4862694000.0
2011-09-30;2453;2.02.03;2010-12-31;;0.0;0.0
2011-09-30;2453;2.02.04;2010-12-31;;370907000.0;522143000.0
2011-09-30;2453;2.03.01;2010-12-31;;3412073000.0;3412073000.0
2011-09-30;2453;2.03.02;2010-12-31;;3980974000.0;3980974000.0
2011-09-30;2453;2.03.04;2010-12-31;;2873253000.0;2806167000.0
2011-09-30;2453;3.01;;2010-09-30;3654528000.0;4047343000.0
2011-09-30;2453;3.02;;2010-09-30;-2495704000.0;-2459672000.0
2011-09-30;2453;3.03;;2010-09-30;1158824000.0;1587671000.0
2011-09-30;2453;3.04;;2010-09-30;-162739000.0;-325264000.0
2011-09-30;2453;3.05;;2010-09-30;996085000.0;1262407000.0
2011-09-30;2453;3.06;;2010-09-30;-167171000.0;-293753000.0
2011-09-30;2453;3.07;;2010-09-30;828914000.0;968654000.0
2011-09-30;2453;3.08;;2010-09-30;-169244000.0;-311407000.0
2011-09-30;2453;3.09;;2010-09-30;659670000.0;657247000.0
2011-09-30;2453;3.11;;2010-09-30;659670000.0;657247000.0
2011-09-30;2453;5.01;;2010-09-30;11165501000.0;11476133000.0
2011-09-30;2453;5.03;;2010-09-30;11165501000.0;11476133000.0
